# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	ERR526049
UniRef90_A0A174Y2Z3|unclassified	108.7776319104
UniClust90_4572-FIDNHDDI_02786	108.6889437214
UniClust90_4572-FIDNHDDI_02786|unclassified	108.6889437214
UniRef90_K6B4E2	108.6432486537
UniRef90_K6B4E2|s__Phocaeicola_vulgatus.t__SGB1814	108.6432486537
UniClust90_41470-BDFJFIBL_01825	108.5487345856
UniClust90_41470-BDFJFIBL_01825|unclassified	108.5487345856
UniClust90_41625-PEIGMIKM_02431	108.4184994838
UniClust90_41625-PEIGMIKM_02431|unclassified	108.4184994838
UniClust90_20833-CABFOMEB_01034	108.4115217088
UniClust90_20833-CABFOMEB_01034|unclassified	108.4115217088
UniClust90_41652-HBLLOHKP_00358	108.3959661476
UniClust90_41652-HBLLOHKP_00358|unclassified	108.3959661476
UniClust90_5118-DDDOEEBM_01243	108.0498644526
UniClust90_5118-DDDOEEBM_01243|unclassified	108.0498644526
UniRef90_C7GD36	108.0384422552
UniRef90_C7GD36|unclassified	108.0384422552
UniRef90_A0A1C6CQG3	107.9933441451
UniRef90_A0A1C6CQG3|unclassified	107.9933441451
UniClust90_41705-FJADGNOM_01172	107.9477044407
UniClust90_41705-FJADGNOM_01172|unclassified	107.9477044407
UniRef90_D9SNA4	107.8941207807
UniRef90_D9SNA4|unclassified	107.8941207807
UniClust90_14996-HOMHJHMK_01707	107.7213565040
UniClust90_14996-HOMHJHMK_01707|unclassified	107.7213565040
UniRef90_D1PRC2	107.6424465456
UniRef90_D1PRC2|unclassified	107.6424465456
UniClust90_6370-GNPLACFG_01295	107.6046601296
UniClust90_6370-GNPLACFG_01295|unclassified	107.6046601296
UniRef90_A0A173U737	107.5117901780
UniRef90_A0A173U737|unclassified	107.5117901780
UniRef90_UNK4950-IFAOKEFJ_01677	107.3996176672
UniRef90_UNK4950-IFAOKEFJ_01677|unclassified	107.3996176672
UniClust90_4929-GJAGHANJ_00456	107.3794923278
UniClust90_4929-GJAGHANJ_00456|unclassified	107.3794923278
UniClust90_69171-LJAKGPPK_01225	107.2660129640
UniClust90_69171-LJAKGPPK_01225|unclassified	107.2660129640
UniRef90_B0NCC2	107.1786764413
UniRef90_B0NCC2|unclassified	107.1786764413
UniRef90_A0A0M4RK64	107.0605214336
UniRef90_A0A0M4RK64|unclassified	107.0605214336
UniClust90_41608-PHLAFFIM_01485	107.0562039625
UniClust90_41608-PHLAFFIM_01485|unclassified	107.0562039625
UniRef90_A0A0X8VAR3	106.7943122029
UniRef90_A0A0X8VAR3|unclassified	106.7943122029
UniClust90_7278-IGCLBEBO_02452	106.6192912606
UniClust90_7278-IGCLBEBO_02452|unclassified	106.6192912606
UniRef90_UNK41480-ILPCCPAH_00040	106.5904720623
UniRef90_UNK41480-ILPCCPAH_00040|unclassified	106.5904720623
UniClust90_6631-BPJNKMIF_00456	106.5727793137
UniClust90_6631-BPJNKMIF_00456|unclassified	106.5727793137
UniClust90_4260-HKHLICKJ_00920	106.5563227907
UniClust90_4260-HKHLICKJ_00920|unclassified	106.5563227907
UniClust90_4883-FMIDGFLH_01488	106.5275291426
UniClust90_4883-FMIDGFLH_01488|unclassified	106.5275291426
UniClust90_4208-AICGLKIG_01593	106.4212701682
UniClust90_4208-AICGLKIG_01593|unclassified	106.4212701682
UniRef90_A0A1C6DJB3	106.1788050594
UniRef90_A0A1C6DJB3|unclassified	106.1788050594
UniClust90_4887-JKKLKLFL_00504	106.1313893700
UniClust90_4887-JKKLKLFL_00504|unclassified	106.1313893700
UniClust90_41671-OBPAIJCD_00866	106.1235656980
UniClust90_41671-OBPAIJCD_00866|unclassified	106.1235656980
UniRef90_C6PZN0	106.0564926678
UniRef90_C6PZN0|unclassified	106.0564926678
UniClust90_4924-DBAKKKAL_00314	106.0344887132
UniClust90_4924-DBAKKKAL_00314|unclassified	106.0344887132
UniClust90_4939-DBENPLIL_00320	105.9524292796
UniClust90_4939-DBENPLIL_00320|unclassified	105.9524292796
UniRef90_A0A173WCS8	105.8132024623
UniRef90_A0A173WCS8|unclassified	105.8132024623
UniRef90_UNK36997-HABJADAI_00616	105.6995652766
UniRef90_UNK36997-HABJADAI_00616|unclassified	105.6995652766
UniClust90_5063-BPHJJDJC_01635	105.4460135875
UniClust90_5063-BPHJJDJC_01635|unclassified	105.4460135875
UniClust90_4888-AMOPHFKM_00481	105.4254823461
UniClust90_4888-AMOPHFKM_00481|unclassified	105.4254823461
UniRef90_C7G7Q3	105.3697636039
UniRef90_C7G7Q3|unclassified	105.3697636039
UniClust90_6235-GJHODDKK_03211	105.3265938151
UniClust90_6235-GJHODDKK_03211|unclassified	105.3265938151
UniRef90_A0A447DSP2	104.9967287299
UniRef90_A0A447DSP2|unclassified	104.9967287299
UniRef90_UNK6148-BGMKBCCE_02120	104.6764813984
UniRef90_UNK6148-BGMKBCCE_02120|unclassified	104.6764813984
UniRef90_Q45138	104.2032722504
UniRef90_Q45138|s__Bacteroides_uniformis.t__SGB1836	98.8189558301
UniRef90_Q45138|s__Bacteroides_faecis.t__SGB1860	3.4745277356
UniRef90_Q45138|s__Phocaeicola_vulgatus.t__SGB1814	1.9097886847
UniRef90_A0A1C5MPQ8	104.1106112097
UniRef90_A0A1C5MPQ8|unclassified	104.1106112097
UniRef90_A0A1E3AIJ4	104.0552028194
UniRef90_A0A1E3AIJ4|unclassified	104.0552028194
UniRef90_A0A174Y3Y2	104.0164462441
UniRef90_A0A174Y3Y2|unclassified	104.0164462441
UniRef90_I8ZT59	103.9741082718
UniRef90_I8ZT59|s__Phocaeicola_vulgatus.t__SGB1814	103.9741082718
UniRef90_A0A0E9G982	103.9259119632
UniRef90_A0A0E9G982|unclassified	103.9259119632
UniClust90_15411-LFDENEHI_00578	103.8577741545
UniClust90_15411-LFDENEHI_00578|unclassified	103.8577741545
UniClust90_41588-DKDHNGLG_01484	103.7825041241
UniClust90_41588-DKDHNGLG_01484|unclassified	103.7825041241
UniRef90_A0A1C5Q875	103.7662748541
UniRef90_A0A1C5Q875|unclassified	103.7662748541
UniRef90_A0A3C0NYL9	103.7371231148
UniRef90_A0A3C0NYL9|unclassified	103.7371231148
UniRef90_C7G701	103.7178845976
UniRef90_C7G701|unclassified	103.7178845976
UniClust90_15411-CIIAKAOJ_02099	103.7040057797
UniClust90_15411-CIIAKAOJ_02099|unclassified	103.7040057797
UniClust90_14190-DBNBAJME_00056	103.6462465975
UniClust90_14190-DBNBAJME_00056|unclassified	103.6462465975
UniRef90_C7GF80	103.5904859460
UniRef90_C7GF80|unclassified	103.5904859460
UniRef90_UPI000219FD79	103.5323389417
UniRef90_UPI000219FD79|unclassified	103.5323389417
UniRef90_C7GGD0	103.4920749347
UniRef90_C7GGD0|unclassified	103.4920749347
UniClust90_41470-IOCAPCKO_01805	103.4333567750
UniClust90_41470-IOCAPCKO_01805|unclassified	103.4333567750
UniClust90_4477-ENMOIELM_00126	103.4205064142
UniClust90_4477-ENMOIELM_00126|unclassified	103.4205064142
UniRef90_A0A1C5ZWX5	103.3486414617
UniRef90_A0A1C5ZWX5|unclassified	103.3486414617
UniRef90_R9HW65	103.3320623568
UniRef90_R9HW65|s__Bacteroides_faecis.t__SGB1860	51.9538594787
UniRef90_R9HW65|s__Phocaeicola_vulgatus.t__SGB1814	51.3782028780
UniClust90_41788-MFKJFCLM_00365	103.2469594331
UniClust90_41788-MFKJFCLM_00365|unclassified	103.2469594331
UniClust90_41453-BDNKKCNB_00846	103.2188012514
UniClust90_41453-BDNKKCNB_00846|unclassified	103.2188012514
UniRef90_A0A1H7MQV0	103.1757988711
UniRef90_A0A1H7MQV0|s__Bacteroides_faecis.t__SGB1860	63.0603567879
UniRef90_A0A1H7MQV0|s__Bacteroides_caccae.t__SGB1877	40.1154420832
UniClust90_37540-DEOFKAEM_00543	103.1749295086
UniClust90_37540-DEOFKAEM_00543|unclassified	103.1749295086
UniRef90_C7HAA1	103.1685555127
UniRef90_C7HAA1|unclassified	103.1685555127
UniClust90_4965-LMFKLNIP_01232	103.0732599177
UniClust90_4965-LMFKLNIP_01232|unclassified	103.0732599177
UniRef90_A0A1C6INB3	102.8624899182
UniRef90_A0A1C6INB3|unclassified	102.8624899182
UniRef90_A8SCB8	102.7835318929
UniRef90_A8SCB8|unclassified	102.7835318929
UniClust90_41470-KCJJCKNE_01204	102.7524157980
UniClust90_41470-KCJJCKNE_01204|unclassified	102.7524157980
UniRef90_A0A174YPH6	102.7360268181
UniRef90_A0A174YPH6|unclassified	102.7360268181
UniClust90_4271-BIOMGOGI_01411	102.6345033521
UniClust90_4271-BIOMGOGI_01411|unclassified	102.6345033521
UniClust90_41460-APPMGDBM_00812	102.4991269891
UniClust90_41460-APPMGDBM_00812|unclassified	102.4991269891
UniRef90_A0A174IQU9	102.3414080348
UniRef90_A0A174IQU9|s__Phocaeicola_vulgatus.t__SGB1814	102.3414080348
UniClust90_28469-ADICNMPE_00520	102.2824545639
UniClust90_28469-ADICNMPE_00520|unclassified	102.2824545639
UniRef90_A0A174MFK2	102.2696146935
UniRef90_A0A174MFK2|s__Bacteroides_uniformis.t__SGB1836	56.8164526075
UniRef90_A0A174MFK2|s__Bacteroides_caccae.t__SGB1877	45.4531620860
UniRef90_A0A173V0C7	102.1555197027
UniRef90_A0A173V0C7|unclassified	102.1555197027
UniRef90_A0A371JBL9	102.1151787958
UniRef90_A0A371JBL9|unclassified	102.1151787958
UniRef90_I9J2Y0	102.0380742910
UniRef90_I9J2Y0|s__Phocaeicola_vulgatus.t__SGB1814	102.0380742910
UniClust90_15013-PLFGGKGE_00658	101.9304188081
UniClust90_15013-PLFGGKGE_00658|unclassified	101.9304188081
UniRef90_E5V0L3	101.9194228710
UniRef90_E5V0L3|s__Bacteroides_faecis.t__SGB1860	100.4372545421
UniRef90_E5V0L3|s__Bacteroides_uniformis.t__SGB1836	1.4821683289
UniClust90_4631-FGPCFHBK_01187	101.8652118435
UniClust90_4631-FGPCFHBK_01187|unclassified	101.8652118435
UniClust90_37061-FCJOMLAF_00421	101.8201668201
UniClust90_37061-FCJOMLAF_00421|unclassified	101.8201668201
UniRef90_R5IPC6	101.8031001618
UniRef90_R5IPC6|unclassified	101.8031001618
UniRef90_F9ZAX4	101.7841213974
UniRef90_F9ZAX4|s__Phocaeicola_vulgatus.t__SGB1814	54.1004943178
UniRef90_F9ZAX4|s__Bacteroides_uniformis.t__SGB1836	47.6836270795
UniRef90_A0A0M6WF06	101.6258687954
UniRef90_A0A0M6WF06|unclassified	101.6258687954
UniRef90_C0FV43	101.5378942369
UniRef90_C0FV43|unclassified	101.5378942369
UniClust90_9283-KCCDIHDF_01588	101.5271382284
UniClust90_9283-KCCDIHDF_01588|s__Sutterella_wadsworthensis.t__SGB9283	101.5271382284
UniRef90_A0A174FQE4	101.3189015914
UniRef90_A0A174FQE4|s__Bacteroides_caccae.t__SGB1877	63.4066582705
UniRef90_A0A174FQE4|s__Phocaeicola_vulgatus.t__SGB1814	35.9429186822
UniRef90_A0A174FQE4|s__Bacteroides_faecis.t__SGB1860	1.9693246386
UniRef90_A0A174DT76	101.3020660898
UniRef90_A0A174DT76|s__Bacteroides_faecis.t__SGB1860	101.3020660898
UniRef90_K1TQH2	101.2513086796
UniRef90_K1TQH2|unclassified	101.2513086796
UniClust90_4940-HDPJFOJK_01326	101.2320451809
UniClust90_4940-HDPJFOJK_01326|unclassified	101.2320451809
UniRef90_UNK4940-IJGPAGEG_01356	101.2054326958
UniRef90_UNK4940-IJGPAGEG_01356|unclassified	101.2054326958
UniClust90_5105-HOPJILHJ_01202	101.2020912890
UniClust90_5105-HOPJILHJ_01202|unclassified	101.2020912890
UniRef90_A0A0M6WTR7	101.1911550372
UniRef90_A0A0M6WTR7|unclassified	101.1911550372
UniRef90_A0A078RIU7	101.0877832876
UniRef90_A0A078RIU7|s__Phocaeicola_vulgatus.t__SGB1814	101.0877832876
UniClust90_42364-INONBCLD_01784	101.0791623160
UniClust90_42364-INONBCLD_01784|unclassified	101.0791623160
UniClust90_4778-LDBCANEN_00737	101.0315830227
UniClust90_4778-LDBCANEN_00737|unclassified	101.0315830227
UniClust90_5057-BAHNKLGB_00257	100.9957744823
UniClust90_5057-BAHNKLGB_00257|unclassified	100.9957744823
UniRef90_R6BEV7	100.9687853205
UniRef90_R6BEV7|unclassified	100.9687853205
UniRef90_R5BEE7	100.9555107849
UniRef90_R5BEE7|unclassified	100.9555107849
UniClust90_2091-GCALNOJE_01472	100.6915899359
UniClust90_2091-GCALNOJE_01472|unclassified	100.6915899359
UniClust90_5205-JAKDECAK_01033	100.6632259550
UniClust90_5205-JAKDECAK_01033|unclassified	100.6632259550
UniRef90_A0A173UMD4	100.6282765899
UniRef90_A0A173UMD4|unclassified	100.6282765899
UniClust90_6038-JNLGCPFK_01705	100.5338667436
UniClust90_6038-JNLGCPFK_01705|unclassified	100.5338667436
UniRef90_B9YBY3	100.5017351460
UniRef90_B9YBY3|unclassified	100.5017351460
UniClust90_6173-IJOGCOPD_02113	100.4910172048
UniClust90_6173-IJOGCOPD_02113|unclassified	100.4910172048
UniClust90_45230-JBDAHCKL_01815	100.4629150496
UniClust90_45230-JBDAHCKL_01815|unclassified	100.4629150496
UniClust90_14215-AMAFNLOO_00940	100.2580421176
UniClust90_14215-AMAFNLOO_00940|unclassified	100.2580421176
UniRef90_A0A174STK3	100.1186379924
UniRef90_A0A174STK3|unclassified	100.1186379924
UniRef90_A0A1E9DKM7	100.0915379868
UniRef90_A0A1E9DKM7|s__Bacteroides_caccae.t__SGB1877	100.0915379868
UniClust90_15382-KEBLPGNA_00842	100.0298058520
UniClust90_15382-KEBLPGNA_00842|unclassified	100.0298058520
UniRef90_A0A3D5LX04	100.0239015562
UniRef90_A0A3D5LX04|unclassified	100.0239015562
UniRef90_A0A174CMY4	99.9742873347
UniRef90_A0A174CMY4|unclassified	99.9742873347
UniClust90_37071-DMCBELMP_01014	99.9716959047
UniClust90_37071-DMCBELMP_01014|unclassified	99.9716959047
UniRef90_UPI0009FB01C4	99.9646227135
UniRef90_UPI0009FB01C4|unclassified	99.9646227135
UniRef90_C0FRZ2	99.9434999248
UniRef90_C0FRZ2|unclassified	99.9434999248
UniClust90_4155-FCOCPMMK_00798	99.8494931057
UniClust90_4155-FCOCPMMK_00798|unclassified	99.8494931057
UniClust90_41480-JPADKKGH_01128	99.6909524510
UniClust90_41480-JPADKKGH_01128|unclassified	99.6909524510
UniClust90_41629-FFBHCAFH_02040	99.6698558441
UniClust90_41629-FFBHCAFH_02040|unclassified	99.6698558441
UniClust90_4733-FKOAHAON_01823	99.6396611246
UniClust90_4733-FKOAHAON_01823|unclassified	99.6396611246
UniClust90_4948-FJKMMAFF_00158	99.5164937765
UniClust90_4948-FJKMMAFF_00158|unclassified	99.5164937765
UniRef90_C7GFH2	99.4331589970
UniRef90_C7GFH2|unclassified	99.4331589970
UniRef90_A0A351URQ5	99.4092812397
UniRef90_A0A351URQ5|unclassified	99.4092812397
UniRef90_D4L2B2	99.3981685831
UniRef90_D4L2B2|unclassified	99.3981685831
UniClust90_37369-BHIFBAFE_01372	99.3906057478
UniClust90_37369-BHIFBAFE_01372|unclassified	99.3906057478
UniClust90_15400-ADEIIMMF_00304	99.3393705257
UniClust90_15400-ADEIIMMF_00304|unclassified	99.3393705257
UniRef90_A0A485FXR0	99.3317099981
UniRef90_A0A485FXR0|unclassified	99.3317099981
UniRef90_A0A0U5PG50	99.2772144795
UniRef90_A0A0U5PG50|unclassified	99.2772144795
UniRef90_A0A1Y4TZ46	99.2724708364
UniRef90_A0A1Y4TZ46|unclassified	99.2724708364
UniClust90_4614-MEPPBFCF_03855	99.0731665050
UniClust90_4614-MEPPBFCF_03855|unclassified	99.0731665050
UniClust90_14924-BBPMAMHJ_00995	98.9355396056
UniClust90_14924-BBPMAMHJ_00995|unclassified	98.9355396056
UniClust90_1021-EKFCJGJJ_00107	98.8455887959
UniClust90_1021-EKFCJGJJ_00107|unclassified	98.8455887959
UniRef90_A0A354CVM0	98.7939781535
UniRef90_A0A354CVM0|unclassified	98.7939781535
UniClust90_4669-ECIMIOAF_01297	98.7358476345
UniClust90_4669-ECIMIOAF_01297|unclassified	98.7358476345
UniRef90_UNK4793-NDNODMIC_02753	98.7296122498
UniRef90_UNK4793-NDNODMIC_02753|unclassified	98.7296122498
UniRef90_A0A3D2GAR5	98.6873478703
UniRef90_A0A3D2GAR5|unclassified	98.6873478703
UniClust90_4760-LCGJILKN_02403	98.5793180729
UniClust90_4760-LCGJILKN_02403|unclassified	98.5793180729
UniRef90_A0A174M590	98.3199320141
UniRef90_A0A174M590|unclassified	98.3199320141
UniRef90_K9DVT8	98.2507960472
UniRef90_K9DVT8|s__Phocaeicola_vulgatus.t__SGB1814	74.1776768048
UniRef90_K9DVT8|s__Bacteroides_faecis.t__SGB1860	15.7111632013
UniRef90_K9DVT8|s__Bacteroides_uniformis.t__SGB1836	8.3619560411
UniClust90_4631-FGAFNIDJ_00914	98.1991353692
UniClust90_4631-FGAFNIDJ_00914|unclassified	98.1991353692
UniClust90_14972-HPFEGMKN_02376	98.0418631167
UniClust90_14972-HPFEGMKN_02376|unclassified	98.0418631167
UniRef90_F9ZAG2	98.0325008223
UniRef90_F9ZAG2|s__Phocaeicola_vulgatus.t__SGB1814	98.0325008223
UniRef90_A0A1C5U1X8	97.9578732456
UniRef90_A0A1C5U1X8|unclassified	97.9578732456
UniRef90_A0A1E3AVX1	97.8951599082
UniRef90_A0A1E3AVX1|unclassified	97.8951599082
UniRef90_K4Q8U7	97.8494294488
UniRef90_K4Q8U7|unclassified	97.8494294488
UniRef90_A6KXA8	97.8089767605
UniRef90_A6KXA8|s__Phocaeicola_vulgatus.t__SGB1814	97.8089767605
UniRef90_A0A174AYK4	97.7941583424
UniRef90_A0A174AYK4|unclassified	97.7941583424
UniClust90_66626-DDGCLKGB_00249	97.7552068137
UniClust90_66626-DDGCLKGB_00249|unclassified	97.7552068137
UniRef90_D4IN36	97.6915817471
UniRef90_D4IN36|s__Bacteroides_uniformis.t__SGB1836	38.2574235377
UniRef90_D4IN36|s__Bacteroides_faecis.t__SGB1860	25.3112559000
UniRef90_D4IN36|s__Phocaeicola_vulgatus.t__SGB1814	23.0318372425
UniRef90_D4IN36|s__Bacteroides_caccae.t__SGB1877	11.0910650669
UniRef90_UNK4940-GOLJFMCM_02596	97.6905042569
UniRef90_UNK4940-GOLJFMCM_02596|unclassified	97.6905042569
UniRef90_A0A3P8LC17	97.6032919595
UniRef90_A0A3P8LC17|unclassified	97.6032919595
UniRef90_D3MR68	97.5838245170
UniRef90_D3MR68|unclassified	97.5838245170
UniRef90_UNK4950-OBECNHCM_01476	97.5485990256
UniRef90_UNK4950-OBECNHCM_01476|unclassified	97.5485990256
UniRef90_A6KXM7	97.4832529324
UniRef90_A6KXM7|s__Bacteroides_uniformis.t__SGB1836	39.6782330434
UniRef90_A6KXM7|s__Bacteroides_caccae.t__SGB1877	36.1468303829
UniRef90_A6KXM7|s__Bacteroides_faecis.t__SGB1860	17.0065091348
UniRef90_A6KXM7|s__Phocaeicola_vulgatus.t__SGB1814	4.6516803713
UniClust90_53821-FKMJIEKH_01513	97.3472863802
UniClust90_53821-FKMJIEKH_01513|unclassified	97.3472863802
UniRef90_C7GB32	97.2822878763
UniRef90_C7GB32|unclassified	97.2822878763
UniRef90_UNK4950-ADGNHANF_02166	97.2257566483
UniRef90_UNK4950-ADGNHANF_02166|unclassified	97.2257566483
UniRef90_C7GAD9	97.1873421094
UniRef90_C7GAD9|unclassified	97.1873421094
UniRef90_A0A174WH72	97.1383431004
UniRef90_A0A174WH72|unclassified	97.1383431004
UniRef90_A0A1C5QX76	97.0087336268
UniRef90_A0A1C5QX76|unclassified	97.0087336268
UniRef90_K1UJY1	96.9657055130
UniRef90_K1UJY1|unclassified	96.9657055130
UniClust90_40582-FBJPOCGG_00808	96.7569952594
UniClust90_40582-FBJPOCGG_00808|unclassified	96.7569952594
UniClust90_4803-CANAFCCN_00386	96.7404816545
UniClust90_4803-CANAFCCN_00386|unclassified	96.7404816545
UniRef90_A0A0K9CMM9	96.7325931303
UniRef90_A0A0K9CMM9|s__Phocaeicola_vulgatus.t__SGB1814	96.7325931303
UniClust90_41468-BFDBGLBB_00846	96.7203094204
UniClust90_41468-BFDBGLBB_00846|unclassified	96.7203094204
UniClust90_47850-FBKHHNIC_01450	96.5148644678
UniClust90_47850-FBKHHNIC_01450|unclassified	96.5148644678
UniRef90_C7GGM4	96.4539993380
UniRef90_C7GGM4|unclassified	96.4539993380
UniRef90_A0A174RG04	96.3051064153
UniRef90_A0A174RG04|unclassified	96.3051064153
UniClust90_37145-LIPLDODF_01671	96.2131817002
UniClust90_37145-LIPLDODF_01671|unclassified	96.2131817002
UniRef90_A0A173VRC0	96.1531903579
UniRef90_A0A173VRC0|unclassified	96.1531903579
UniClust90_15271-NGNECLDM_01318	96.1379447603
UniClust90_15271-NGNECLDM_01318|unclassified	96.1379447603
UniRef90_A5ZAA5	96.1325365899
UniRef90_A5ZAA5|unclassified	96.1325365899
UniClust90_4631-FMCDIKNO_01292	96.0056979583
UniClust90_4631-FMCDIKNO_01292|unclassified	96.0056979583
UniClust90_4891-JHAPJAIF_00445	95.9141833455
UniClust90_4891-JHAPJAIF_00445|unclassified	95.9141833455
UniRef90_UNK15332-LKPLBAHF_00007	95.8114103399
UniRef90_UNK15332-LKPLBAHF_00007|unclassified	95.8114103399
UniRef90_A0A417LQA8	95.7705446720
UniRef90_A0A417LQA8|unclassified	95.7705446720
UniRef90_D4IN85	95.7304666683
UniRef90_D4IN85|s__Bacteroides_uniformis.t__SGB1836	28.7005752031
UniRef90_D4IN85|s__Bacteroides_faecis.t__SGB1860	28.1620279051
UniRef90_D4IN85|s__Phocaeicola_vulgatus.t__SGB1814	20.6314762760
UniRef90_D4IN85|s__Bacteroides_caccae.t__SGB1877	18.2363872841
UniClust90_41531-MNIMCFOE_02794	95.6894934508
UniClust90_41531-MNIMCFOE_02794|unclassified	95.6894934508
UniRef90_UPI0009E3FA94	95.6583190671
UniRef90_UPI0009E3FA94|unclassified	95.6583190671
UniRef90_A0A3R3Z605	95.5092842893
UniRef90_A0A3R3Z605|unclassified	95.5092842893
UniRef90_A0A174DTK3	95.4188825753
UniRef90_A0A174DTK3|unclassified	95.4188825753
UniRef90_A0A015V6F7	95.4100673665
UniRef90_A0A015V6F7|s__Phocaeicola_vulgatus.t__SGB1814	35.7527921286
UniRef90_A0A015V6F7|s__Bacteroides_faecis.t__SGB1860	25.5674036734
UniRef90_A0A015V6F7|s__Parabacteroides_distasonis.t__SGB1934	17.0449357823
UniRef90_A0A015V6F7|s__Bacteroides_caccae.t__SGB1877	11.3632905215
UniRef90_A0A015V6F7|s__Bacteroides_uniformis.t__SGB1836	5.6816452608
UniClust90_4312-JFLHCHPM_01102	95.3339015958
UniClust90_4312-JFLHCHPM_01102|unclassified	95.3339015958
UniClust90_66046-IDGDKPBJ_01175	95.3195646159
UniClust90_66046-IDGDKPBJ_01175|unclassified	95.3195646159
UniClust90_5183-MIGPNGHI_00605	95.2750982794
UniClust90_5183-MIGPNGHI_00605|unclassified	95.2750982794
UniRef90_E6SWH0	95.2427986062
UniRef90_E6SWH0|s__Bacteroides_faecis.t__SGB1860	39.4783111627
UniRef90_E6SWH0|s__Bacteroides_uniformis.t__SGB1836	24.2047964712
UniRef90_E6SWH0|s__Bacteroides_caccae.t__SGB1877	16.4624257833
UniRef90_E6SWH0|s__Phocaeicola_vulgatus.t__SGB1814	15.0972651890
UniRef90_A0A3E4N769	95.1345904897
UniRef90_A0A3E4N769|s__Bacteroides_uniformis.t__SGB1836	39.1561998604
UniRef90_A0A3E4N769|s__Bacteroides_faecis.t__SGB1860	26.7729759864
UniRef90_A0A3E4N769|s__Phocaeicola_vulgatus.t__SGB1814	22.0891739386
UniRef90_A0A3E4N769|s__Bacteroides_caccae.t__SGB1877	7.1162407042
UniClust90_14778-LHBPPILB_00874	95.0509034839
UniClust90_14778-LHBPPILB_00874|unclassified	95.0509034839
UniClust90_37432-OEBHFEBB_00204	95.0323988849
UniClust90_37432-OEBHFEBB_00204|unclassified	95.0323988849
UniClust90_5184-HKNFGGJJ_00535	94.9982762802
UniClust90_5184-HKNFGGJJ_00535|unclassified	94.9982762802
UniRef90_E0RYC3	94.9648473953
UniRef90_E0RYC3|unclassified	94.9648473953
UniClust90_4860-AAAGBKAE_02282	94.8313376415
UniClust90_4860-AAAGBKAE_02282|unclassified	94.8313376415
UniRef90_D5RB70	94.8046297004
UniRef90_D5RB70|unclassified	94.8046297004
UniClust90_12677-ADOKMKED_02473	94.7740689670
UniClust90_12677-ADOKMKED_02473|unclassified	94.7740689670
UniClust90_4953-FMIEFLIA_02304	94.7126160855
UniClust90_4953-FMIEFLIA_02304|unclassified	94.7126160855
UniRef90_A0A1C5SCE1	94.6896142769
UniRef90_A0A1C5SCE1|unclassified	94.6896142769
UniRef90_E0RVS6	94.5733819448
UniRef90_E0RVS6|unclassified	94.5733819448
UniRef90_UNK4940-NFHOKCIN_01358	94.4328429480
UniRef90_UNK4940-NFHOKCIN_01358|unclassified	94.4328429480
UniRef90_K1UFX9	94.3428470597
UniRef90_K1UFX9|unclassified	94.3428470597
UniRef90_A0A1V4J089	94.3220880428
UniRef90_A0A1V4J089|unclassified	94.3220880428
UniClust90_47664-KMDELJAP_03389	94.2549120388
UniClust90_47664-KMDELJAP_03389|unclassified	94.2549120388
UniRef90_C7G9R5	94.1822694419
UniRef90_C7G9R5|unclassified	94.1822694419
UniRef90_A0A0P0GNF1	94.1804021573
UniRef90_A0A0P0GNF1|unclassified	94.1804021573
UniClust90_66051-PDGDHPHG_00500	94.1760680185
UniClust90_66051-PDGDHPHG_00500|unclassified	94.1760680185
UniRef90_A0A173TFY8	94.1393904624
UniRef90_A0A173TFY8|unclassified	94.1393904624
UniClust90_4651-IFMDAKEB_00900	94.1085356127
UniClust90_4651-IFMDAKEB_00900|unclassified	94.1085356127
UniRef90_A6LGZ7	94.0596151027
UniRef90_A6LGZ7|s__Bacteroides_uniformis.t__SGB1836	94.0596151027
UniClust90_4870-KDLGGALI_00711	94.0036811401
UniClust90_4870-KDLGGALI_00711|unclassified	94.0036811401
UniRef90_A0A133ZJ74	94.0006126131
UniRef90_A0A133ZJ74|unclassified	94.0006126131
UniClust90_4701-COBFAEPB_00493	93.9868852616
UniClust90_4701-COBFAEPB_00493|unclassified	93.9868852616
UniRef90_B0G4Y0	93.9232795008
UniRef90_B0G4Y0|unclassified	93.9232795008
UniRef90_A0A1D4L7P2	93.8617921975
UniRef90_A0A1D4L7P2|unclassified	93.8617921975
UniRef90_J9C8V6	93.8051162409
UniRef90_J9C8V6|unclassified	93.8051162409
UniRef90_A0A3D2KG37	93.7999611071
UniRef90_A0A3D2KG37|unclassified	93.7999611071
UniRef90_A0A173UUI7	93.7272922389
UniRef90_A0A173UUI7|unclassified	93.7272922389
UniClust90_41213-GGBOLFPO_00449	93.5946654471
UniClust90_41213-GGBOLFPO_00449|unclassified	93.5946654471
UniRef90_A0A173UM04	93.5269115515
UniRef90_A0A173UM04|unclassified	93.5269115515
UniRef90_A0A1G5HXF9	93.5218035579
UniRef90_A0A1G5HXF9|unclassified	93.5218035579
UniRef90_U2EG59	93.2710609025
UniRef90_U2EG59|unclassified	93.2710609025
UniRef90_UNK37113-JCPKABCE_01106	93.2678612209
UniRef90_UNK37113-JCPKABCE_01106|unclassified	93.2678612209
UniClust90_4938-HMJIMFDH_00739	93.1405665411
UniClust90_4938-HMJIMFDH_00739|unclassified	93.1405665411
UniClust90_41304-MKPAICAN_01475	93.1187023686
UniClust90_41304-MKPAICAN_01475|unclassified	93.1187023686
